evidence_id,claim_id,question,data_class,description,source_file,source_sha256,row_locator,column_or_json_pointer,raw_value,display_value,unit,time_basis,generated_by_code,config_locator,validation,notes
EV-Q2-007,CLM-Q2-001,Q2,MODEL_DERIVED,Maximum SOC,results/problem_3_1/question_2_final/tables/10_recommendation_summary.csv,fcf2ef23e957a65c45d4aa51b9b223e7064d97819efecfa6a044c749e85a3baf,"recommendation_type == ""recommended_installed_capacity""",soc_max_pct,90,90,%,168-hour North-West model,src/problem_3_1/question_2_battery_siting_sizing.py::verify_lifetime_recommendation lines 902-914,Q2 lifetime_eol row; 10-90% SOC and 80% EOL SoH,"solve_ok, unserved_ok, benchmark_success and no simultaneous operation",
EV-Q2-008,CLM-Q2-001,Q2,MODEL_DERIVED,Round-trip efficiency,results/problem_3_1/question_2_final/tables/10_recommendation_summary.csv,fcf2ef23e957a65c45d4aa51b9b223e7064d97819efecfa6a044c749e85a3baf,"recommendation_type == ""recommended_installed_capacity""",round_trip_efficiency_pct,90,90,%,168-hour North-West model,src/problem_3_1/question_2_battery_siting_sizing.py::verify_lifetime_recommendation lines 902-914,Q2 lifetime_eol row; 10-90% SOC and 80% EOL SoH,"solve_ok, unserved_ok, benchmark_success and no simultaneous operation",
EV-Q2-009,CLM-Q2-001,Q2,MODEL_DERIVED,Total dispatch-down,results/problem_3_1/question_2_final/tables/10_recommendation_summary.csv,fcf2ef23e957a65c45d4aa51b9b223e7064d97819efecfa6a044c749e85a3baf,"recommendation_type == ""recommended_installed_capacity""",total_dispatch_down_mwh,2870.19973767,2870.19973767,MWh,168-hour North-West model,src/problem_3_1/question_2_battery_siting_sizing.py::verify_lifetime_recommendation lines 902-914,Q2 lifetime_eol row; 10-90% SOC and 80% EOL SoH,"solve_ok, unserved_ok, benchmark_success and no simultaneous operation",
EV-Q2-010,CLM-Q2-001,Q2,MODEL_DERIVED,Dispatch-down saved,results/problem_3_1/question_2_final/tables/10_recommendation_summary.csv,fcf2ef23e957a65c45d4aa51b9b223e7064d97819efecfa6a044c749e85a3baf,"recommendation_type == ""recommended_installed_capacity""",dispatch_down_saved_mwh,790.390535128,790.390535128,MWh,168-hour North-West model,src/problem_3_1/question_2_battery_siting_sizing.py::verify_lifetime_recommendation lines 902-914,Q2 lifetime_eol row; 10-90% SOC and 80% EOL SoH,"solve_ok, unserved_ok, benchmark_success and no simultaneous operation",
EV-Q2-011,CLM-Q2-001,Q2,MODEL_DERIVED,Affected-generator gain,results/problem_3_1/question_2_final/tables/10_recommendation_summary.csv,fcf2ef23e957a65c45d4aa51b9b223e7064d97819efecfa6a044c749e85a3baf,"recommendation_type == ""recommended_installed_capacity""",affected_generator_gain_mwh,850.703845942,850.703845942,MWh,168-hour North-West model,src/problem_3_1/question_2_battery_siting_sizing.py::verify_lifetime_recommendation lines 902-914,Q2 lifetime_eol row; 10-90% SOC and 80% EOL SoH,"solve_ok, unserved_ok, benchmark_success and no simultaneous operation",
EV-Q2-012,CLM-Q2-001,Q2,MODEL_DERIVED,Target benchmark recovery,results/problem_3_1/question_2_final/tables/10_recommendation_summary.csv,fcf2ef23e957a65c45d4aa51b9b223e7064d97819efecfa6a044c749e85a3baf,"recommendation_type == ""recommended_installed_capacity""",target_recovery_pct,105.164796779,105.164796779,%,168-hour North-West model,src/problem_3_1/question_2_battery_siting_sizing.py::verify_lifetime_recommendation lines 902-914,Q2 lifetime_eol row; 10-90% SOC and 80% EOL SoH,"solve_ok, unserved_ok, benchmark_success and no simultaneous operation",
EV-Q2-013,CLM-Q2-001,Q2,MODEL_DERIVED,Weekly battery throughput,results/problem_3_1/question_2_final/tables/10_recommendation_summary.csv,fcf2ef23e957a65c45d4aa51b9b223e7064d97819efecfa6a044c749e85a3baf,"recommendation_type == ""recommended_installed_capacity""",throughput_mwh,2683.3128004,2683.3128004,MWh,168-hour North-West model,src/problem_3_1/question_2_battery_siting_sizing.py::verify_lifetime_recommendation lines 902-914,Q2 lifetime_eol row; 10-90% SOC and 80% EOL SoH,"solve_ok, unserved_ok, benchmark_success and no simultaneous operation",
EV-Q2-014,CLM-Q2-001,Q2,MODEL_DERIVED,Usable equivalent full cycles,results/problem_3_1/question_2_final/tables/10_recommendation_summary.csv,fcf2ef23e957a65c45d4aa51b9b223e7064d97819efecfa6a044c749e85a3baf,"recommendation_type == ""recommended_installed_capacity""",equivalent_full_cycles_usable,6.76238104939,6.76238104939,cycles,168-hour North-West model,src/problem_3_1/question_2_battery_siting_sizing.py::verify_lifetime_recommendation lines 902-914,Q2 lifetime_eol row; 10-90% SOC and 80% EOL SoH,"solve_ok, unserved_ok, benchmark_success and no simultaneous operation",
EV-Q2-015,CLM-Q2-001,Q2,MODEL_DERIVED,Simultaneous charging and discharging hours,results/problem_3_1/question_2_final/tables/10_recommendation_summary.csv,fcf2ef23e957a65c45d4aa51b9b223e7064d97819efecfa6a044c749e85a3baf,"recommendation_type == ""recommended_installed_capacity""",simultaneous_charge_discharge_hours,0,0,hours,168-hour North-West model,src/problem_3_1/question_2_battery_siting_sizing.py::verify_lifetime_recommendation lines 902-914,Q2 lifetime_eol row; 10-90% SOC and 80% EOL SoH,"solve_ok, unserved_ok, benchmark_success and no simultaneous operation",
EV-Q2-016,CLM-Q2-001,Q2,MODEL_DERIVED,Target binding hours,results/problem_3_1/question_2_final/tables/10_recommendation_summary.csv,fcf2ef23e957a65c45d4aa51b9b223e7064d97819efecfa6a044c749e85a3baf,"recommendation_type == ""recommended_installed_capacity""",target_binding_hours,61,61,hours,168-hour North-West model,src/problem_3_1/question_2_battery_siting_sizing.py::verify_lifetime_recommendation lines 902-914,Q2 lifetime_eol row; 10-90% SOC and 80% EOL SoH,"solve_ok, unserved_ok, benchmark_success and no simultaneous operation",
EV-Q2-017,CLM-Q2-001,Q2,MODEL_DERIVED,Architecture reason,results/problem_3_1/question_2_final/tables/10_recommendation_summary.csv,fcf2ef23e957a65c45d4aa51b9b223e7064d97819efecfa6a044c749e85a3baf,"recommendation_type == ""recommended_installed_capacity""",architecture_reason,two-site layout did not materially improve the same-capacity probe result,two-site layout did not materially improve the same-capacity probe result,text,168-hour North-West model,src/problem_3_1/question_2_battery_siting_sizing.py::verify_lifetime_recommendation lines 902-914,Q2 lifetime_eol row; 10-90% SOC and 80% EOL SoH,"solve_ok, unserved_ok, benchmark_success and no simultaneous operation",
EV-Q3-001A,CLM-Q3-001,Q3,MODEL_DERIVED,baseline total dispatch-down,results/problem_3_1/question_3_final/tables/11_final_scenario_comparison.csv,8b8e0ad15027a0cb25283495f0b32b4879e296e77d9676eafd06259bac6627bb,"scenario_label == ""baseline""",total_dispatch_down_mwh,3660.5902728,3660.5902728,MWh,168-hour North-West model,src/problem_3_1/question_3_dynamic_line_rating.py::search_dlr_battery_scales lines 738-754,,,
EV-Q3-001B,CLM-Q3-001,Q3,MODEL_DERIVED,baseline target binding hours,results/problem_3_1/question_3_final/tables/11_final_scenario_comparison.csv,8b8e0ad15027a0cb25283495f0b32b4879e296e77d9676eafd06259bac6627bb,"scenario_label == ""baseline""",target_binding_hours,52,52,hours,168-hour North-West model,src/problem_3_1/question_3_dynamic_line_rating.py::search_dlr_battery_scales lines 738-754,,,
EV-Q3-002A,CLM-Q3-001,Q3,MODEL_DERIVED,selected_wind_proxy_DLR total dispatch-down,results/problem_3_1/question_3_final/tables/11_final_scenario_comparison.csv,8b8e0ad15027a0cb25283495f0b32b4879e296e77d9676eafd06259bac6627bb,"scenario_label == ""selected_wind_proxy_DLR""",total_dispatch_down_mwh,3085.07050477,3085.07050477,MWh,168-hour North-West model,src/problem_3_1/question_3_dynamic_line_rating.py::search_dlr_battery_scales lines 738-754,,,
EV-Q3-002B,CLM-Q3-001,Q3,MODEL_DERIVED,selected_wind_proxy_DLR target binding hours,results/problem_3_1/question_3_final/tables/11_final_scenario_comparison.csv,8b8e0ad15027a0cb25283495f0b32b4879e296e77d9676eafd06259bac6627bb,"scenario_label == ""selected_wind_proxy_DLR""",target_binding_hours,29,29,hours,168-hour North-West model,src/problem_3_1/question_3_dynamic_line_rating.py::search_dlr_battery_scales lines 738-754,,,
EV-Q3-003A,CLM-Q3-001,Q3,MODEL_DERIVED,q2_protected_battery_only total dispatch-down,results/problem_3_1/question_3_final/tables/11_final_scenario_comparison.csv,8b8e0ad15027a0cb25283495f0b32b4879e296e77d9676eafd06259bac6627bb,"scenario_label == ""q2_protected_battery_only""",total_dispatch_down_mwh,2870.19973767,2870.19973767,MWh,168-hour North-West model,src/problem_3_1/question_3_dynamic_line_rating.py::search_dlr_battery_scales lines 738-754,,,
EV-Q3-003B,CLM-Q3-001,Q3,MODEL_DERIVED,q2_protected_battery_only target binding hours,results/problem_3_1/question_3_final/tables/11_final_scenario_comparison.csv,8b8e0ad15027a0cb25283495f0b32b4879e296e77d9676eafd06259bac6627bb,"scenario_label == ""q2_protected_battery_only""",target_binding_hours,61,61,hours,168-hour North-West model,src/problem_3_1/question_3_dynamic_line_rating.py::search_dlr_battery_scales lines 738-754,,,
EV-Q3-004A,CLM-Q3-001,Q3,MODEL_DERIVED,wind_proxy_DLR_plus_battery_scale_0.7320 total dispatch-down,results/problem_3_1/question_3_final/tables/11_final_scenario_comparison.csv,8b8e0ad15027a0cb25283495f0b32b4879e296e77d9676eafd06259bac6627bb,"scenario_label == ""wind_proxy_DLR_plus_battery_scale_0.7320""",total_dispatch_down_mwh,2529.74697824,2529.74697824,MWh,168-hour North-West model,src/problem_3_1/question_3_dynamic_line_rating.py::search_dlr_battery_scales lines 738-754,,,
EV-Q3-004B,CLM-Q3-001,Q3,MODEL_DERIVED,wind_proxy_DLR_plus_battery_scale_0.7320 target binding hours,results/problem_3_1/question_3_final/tables/11_final_scenario_comparison.csv,8b8e0ad15027a0cb25283495f0b32b4879e296e77d9676eafd06259bac6627bb,"scenario_label == ""wind_proxy_DLR_plus_battery_scale_0.7320""",target_binding_hours,33,33,hours,168-hour North-West model,src/problem_3_1/question_3_dynamic_line_rating.py::search_dlr_battery_scales lines 738-754,,,
EV-Q3-010,CLM-Q3-001,Q3,MODEL_DERIVED,Selected DLR mean multiplier,results/problem_3_1/question_3_final/tables/11_final_scenario_comparison.csv,8b8e0ad15027a0cb25283495f0b32b4879e296e77d9676eafd06259bac6627bb,"scenario_label == ""selected_wind_proxy_DLR""",mean_dlr_multiplier,1.09555148839,1.09555148839,pu,168-hour North-West model,src/problem_3_1/question_3_dynamic_line_rating.py::search_dlr_battery_scales lines 738-754,,,
EV-Q3-011,CLM-Q3-001,Q3,MODEL_DERIVED,Selected DLR maximum multiplier,results/problem_3_1/question_3_final/tables/11_final_scenario_comparison.csv,8b8e0ad15027a0cb25283495f0b32b4879e296e77d9676eafd06259bac6627bb,"scenario_label == ""selected_wind_proxy_DLR""",max_dlr_multiplier,1.27950126772,1.27950126772,pu,168-hour North-West model,src/problem_3_1/question_3_dynamic_line_rating.py::search_dlr_battery_scales lines 738-754,,,
EV-Q3-012,CLM-Q3-001,Q3,MODEL_DERIVED,Combined battery power,results/problem_3_1/question_3_final/tables/11_final_scenario_comparison.csv,8b8e0ad15027a0cb25283495f0b32b4879e296e77d9676eafd06259bac6627bb,"scenario_label == ""wind_proxy_DLR_plus_battery_scale_0.7320""",battery_power_mw,62.22,62.22,MW,168-hour North-West model,src/problem_3_1/question_3_dynamic_line_rating.py::search_dlr_battery_scales lines 738-754,,,
EV-Q3-013,CLM-Q3-001,Q3,MODEL_DERIVED,Combined battery nameplate energy,results/problem_3_1/question_3_final/tables/11_final_scenario_comparison.csv,8b8e0ad15027a0cb25283495f0b32b4879e296e77d9676eafd06259bac6627bb,"scenario_label == ""wind_proxy_DLR_plus_battery_scale_0.7320""",battery_nameplate_energy_mwh,226.92,226.92,MWh,168-hour North-West model,src/problem_3_1/question_3_dynamic_line_rating.py::search_dlr_battery_scales lines 738-754,,,
EV-Q3-014,CLM-Q3-001,Q3,MODEL_DERIVED,Combined battery usable energy,results/problem_3_1/question_3_final/tables/11_final_scenario_comparison.csv,8b8e0ad15027a0cb25283495f0b32b4879e296e77d9676eafd06259bac6627bb,"scenario_label == ""wind_proxy_DLR_plus_battery_scale_0.7320""",battery_usable_energy_mwh,145.2288,145.2288,MWh,168-hour North-West model,src/problem_3_1/question_3_dynamic_line_rating.py::search_dlr_battery_scales lines 738-754,,,
EV-Q3-015,CLM-Q3-001,Q3,MODEL_DERIVED,Combined battery scale versus Q2,results/problem_3_1/question_3_final/tables/11_final_scenario_comparison.csv,8b8e0ad15027a0cb25283495f0b32b4879e296e77d9676eafd06259bac6627bb,"scenario_label == ""wind_proxy_DLR_plus_battery_scale_0.7320""",battery_scale_vs_q2,0.732,0.732,fraction,168-hour North-West model,src/problem_3_1/question_3_dynamic_line_rating.py::search_dlr_battery_scales lines 738-754,,,
EV-Q4-000,CLM-Q4-001,Q4,MODEL_DERIVED,No-build NPV,results/problem_3_1/question_4_economic_downsizing_168h_20260910_v2/04_technical_revenue_cost_npv_payback.csv,c8278ff71fbb6978dc2cc0f8dcf9631962f6779e9d02e8eb778088342f1737e7,"case_id == ""NO_BUILD""",npv_eur,0,0,EUR real 2026,20-year present value,src/problem_3_1/q4_techno_economic/pipeline.py::main lines 139-286,,,
EV-Q4-001A,CLM-Q4-001,Q4,MODEL_DERIVED,22.5 MW / 110 MWh: Lifetime net renewable-energy gain,results/problem_3_1/question_4_economic_downsizing_168h_20260910_v2/04_technical_revenue_cost_npv_payback.csv,c8278ff71fbb6978dc2cc0f8dcf9631962f6779e9d02e8eb778088342f1737e7,battery_mw == 22.5 and battery_mwh == 110.0,lifetime_net_renewable_gain_mwh,281012.838733,281012.838733,MWh,20-year result; 168-hour block repeated to 8760 h/year,src/problem_3_1/q4_techno_economic/pipeline.py::main lines 139-286,resolved config in Q4 manifest,separate project and system accounts,
EV-Q4-001B,CLM-Q4-001,Q4,MODEL_DERIVED,22.5 MW / 110 MWh: Lifetime project revenue,results/problem_3_1/question_4_economic_downsizing_168h_20260910_v2/04_technical_revenue_cost_npv_payback.csv,c8278ff71fbb6978dc2cc0f8dcf9631962f6779e9d02e8eb778088342f1737e7,battery_mw == 22.5 and battery_mwh == 110.0,lifetime_project_revenue_eur,40761593.3422,40761593.3422,EUR real 2026,20-year result; 168-hour block repeated to 8760 h/year,src/problem_3_1/q4_techno_economic/pipeline.py::main lines 139-286,resolved config in Q4 manifest,separate project and system accounts,
EV-Q4-001C,CLM-Q4-001,Q4,MODEL_DERIVED,22.5 MW / 110 MWh: Lifetime energy purchase,results/problem_3_1/question_4_economic_downsizing_168h_20260910_v2/04_technical_revenue_cost_npv_payback.csv,c8278ff71fbb6978dc2cc0f8dcf9631962f6779e9d02e8eb778088342f1737e7,battery_mw == 22.5 and battery_mwh == 110.0,lifetime_energy_purchase_eur,45290659.2692,45290659.2692,EUR real 2026,20-year result; 168-hour block repeated to 8760 h/year,src/problem_3_1/q4_techno_economic/pipeline.py::main lines 139-286,resolved config in Q4 manifest,separate project and system accounts,
EV-Q4-001D,CLM-Q4-001,Q4,MODEL_DERIVED,22.5 MW / 110 MWh: Lifetime fixed and variable O&M,results/problem_3_1/question_4_economic_downsizing_168h_20260910_v2/04_technical_revenue_cost_npv_payback.csv,c8278ff71fbb6978dc2cc0f8dcf9631962f6779e9d02e8eb778088342f1737e7,battery_mw == 22.5 and battery_mwh == 110.0,lifetime_fixed_and_variable_om_eur,5401029.23816,5401029.23816,EUR real 2026,20-year result; 168-hour block repeated to 8760 h/year,src/problem_3_1/q4_techno_economic/pipeline.py::main lines 139-286,resolved config in Q4 manifest,separate project and system accounts,
EV-Q4-001E,CLM-Q4-001,Q4,MODEL_DERIVED,22.5 MW / 110 MWh: Lifetime maintenance capital,results/problem_3_1/question_4_economic_downsizing_168h_20260910_v2/04_technical_revenue_cost_npv_payback.csv,c8278ff71fbb6978dc2cc0f8dcf9631962f6779e9d02e8eb778088342f1737e7,battery_mw == 22.5 and battery_mwh == 110.0,lifetime_maintenance_capex_eur,19190000,19190000,EUR real 2026,20-year result; 168-hour block repeated to 8760 h/year,src/problem_3_1/q4_techno_economic/pipeline.py::main lines 139-286,resolved config in Q4 manifest,separate project and system accounts,
EV-Q4-001F,CLM-Q4-001,Q4,MODEL_DERIVED,22.5 MW / 110 MWh: Initial capital,results/problem_3_1/question_4_economic_downsizing_168h_20260910_v2/04_technical_revenue_cost_npv_payback.csv,c8278ff71fbb6978dc2cc0f8dcf9631962f6779e9d02e8eb778088342f1737e7,battery_mw == 22.5 and battery_mwh == 110.0,initial_capex_eur,27197500,27197500,EUR real 2026,20-year result; 168-hour block repeated to 8760 h/year,src/problem_3_1/q4_techno_economic/pipeline.py::main lines 139-286,resolved config in Q4 manifest,separate project and system accounts,
EV-Q4-001G,CLM-Q4-001,Q4,MODEL_DERIVED,22.5 MW / 110 MWh: Lifetime system dispatch-cost saving,results/problem_3_1/question_4_economic_downsizing_168h_20260910_v2/04_technical_revenue_cost_npv_payback.csv,c8278ff71fbb6978dc2cc0f8dcf9631962f6779e9d02e8eb778088342f1737e7,battery_mw == 22.5 and battery_mwh == 110.0,lifetime_system_dispatch_cost_saving_eur,47876313.0094,47876313.0094,EUR real 2026,20-year result; 168-hour block repeated to 8760 h/year,src/problem_3_1/q4_techno_economic/pipeline.py::main lines 139-286,resolved config in Q4 manifest,separate project and system accounts,
EV-Q4-001H,CLM-Q4-001,Q4,MODEL_DERIVED,22.5 MW / 110 MWh: Project NPV,results/problem_3_1/question_4_economic_downsizing_168h_20260910_v2/04_technical_revenue_cost_npv_payback.csv,c8278ff71fbb6978dc2cc0f8dcf9631962f6779e9d02e8eb778088342f1737e7,battery_mw == 22.5 and battery_mwh == 110.0,npv_eur,-41129703.0864,-41129703.0864,EUR real 2026,20-year result; 168-hour block repeated to 8760 h/year,src/problem_3_1/q4_techno_economic/pipeline.py::main lines 139-286,resolved config in Q4 manifest,separate project and system accounts,
EV-Q4-001I,CLM-Q4-001,Q4,MODEL_DERIVED,22.5 MW / 110 MWh: System saving included in project cash flow,results/problem_3_1/question_4_economic_downsizing_168h_20260910_v2/04_technical_revenue_cost_npv_payback.csv,c8278ff71fbb6978dc2cc0f8dcf9631962f6779e9d02e8eb778088342f1737e7,battery_mw == 22.5 and battery_mwh == 110.0,system_saving_included_in_project_cashflow,False,False,boolean,20-year result; 168-hour block repeated to 8760 h/year,src/problem_3_1/q4_techno_economic/pipeline.py::main lines 139-286,resolved config in Q4 manifest,separate project and system accounts,
EV-Q4-002A,CLM-Q4-001,Q4,MODEL_DERIVED,45 MW / 220 MWh: Lifetime net renewable-energy gain,results/problem_3_1/question_4_economic_downsizing_168h_20260910_v2/04_technical_revenue_cost_npv_payback.csv,c8278ff71fbb6978dc2cc0f8dcf9631962f6779e9d02e8eb778088342f1737e7,battery_mw == 45.0 and battery_mwh == 220.0,lifetime_net_renewable_gain_mwh,553004.221785,553004.221785,MWh,20-year result; 168-hour block repeated to 8760 h/year,src/problem_3_1/q4_techno_economic/pipeline.py::main lines 139-286,resolved config in Q4 manifest,separate project and system accounts,
