case_id,source_file,parameter,value,npv_eur,method,physical_dispatch_rerun,q6_status_effect_included
bess_57f6d83931,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_economic_downsizing_168h_20260910/cases/bess_57f6d83931/financial_sensitivity.csv,energy_settlement_multiplier,1.0,-118941650.80609012,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_57f6d83931,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_economic_downsizing_168h_20260910/cases/bess_57f6d83931/financial_sensitivity.csv,energy_settlement_multiplier,1.3,-120803661.32846628,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_57f6d83931,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_economic_downsizing_168h_20260910/cases/bess_57f6d83931/financial_sensitivity.csv,real_discount_rate,0.04,-133865384.3249137,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_57f6d83931,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_economic_downsizing_168h_20260910/cases/bess_57f6d83931/financial_sensitivity.csv,real_discount_rate,0.07,-118941650.80609012,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_57f6d83931,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_economic_downsizing_168h_20260910/cases/bess_57f6d83931/financial_sensitivity.csv,real_discount_rate,0.1,-108806377.31423406,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_5fae7d20e8,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_economic_downsizing_168h_20260910/cases/bess_5fae7d20e8/financial_sensitivity.csv,capex_multiplier,0.8,-33813906.432247624,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_5fae7d20e8,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_economic_downsizing_168h_20260910/cases/bess_5fae7d20e8/financial_sensitivity.csv,capex_multiplier,1.0,-41129703.0863509,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_5fae7d20e8,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_economic_downsizing_168h_20260910/cases/bess_5fae7d20e8/financial_sensitivity.csv,capex_multiplier,1.2,-48445499.74045419,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_5fae7d20e8,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_economic_downsizing_168h_20260910/cases/bess_5fae7d20e8/financial_sensitivity.csv,om_multiplier,0.8,-40557383.57098566,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_5fae7d20e8,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_economic_downsizing_168h_20260910/cases/bess_5fae7d20e8/financial_sensitivity.csv,om_multiplier,1.0,-41129703.0863509,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_5fae7d20e8,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_economic_downsizing_168h_20260910/cases/bess_5fae7d20e8/financial_sensitivity.csv,om_multiplier,1.2,-41702022.60171616,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_5fae7d20e8,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_economic_downsizing_168h_20260910/cases/bess_5fae7d20e8/financial_sensitivity.csv,energy_settlement_multiplier,0.7,-40406868.387816615,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_5fae7d20e8,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_economic_downsizing_168h_20260910/cases/bess_5fae7d20e8/financial_sensitivity.csv,energy_settlement_multiplier,1.0,-41129703.0863509,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_5fae7d20e8,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_economic_downsizing_168h_20260910/cases/bess_5fae7d20e8/financial_sensitivity.csv,energy_settlement_multiplier,1.3,-41852537.78488521,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_5fae7d20e8,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_economic_downsizing_168h_20260910/cases/bess_5fae7d20e8/financial_sensitivity.csv,real_discount_rate,0.04,-46186881.37987461,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_5fae7d20e8,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_economic_downsizing_168h_20260910/cases/bess_5fae7d20e8/financial_sensitivity.csv,real_discount_rate,0.07,-41129703.0863509,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_5fae7d20e8,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_economic_downsizing_168h_20260910/cases/bess_5fae7d20e8/financial_sensitivity.csv,real_discount_rate,0.1,-37633466.86593182,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_7c9ae7b89d,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_economic_downsizing_168h_20260910/cases/bess_7c9ae7b89d/financial_sensitivity.csv,capex_multiplier,0.8,-65547054.30813636,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_7c9ae7b89d,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_economic_downsizing_168h_20260910/cases/bess_7c9ae7b89d/financial_sensitivity.csv,capex_multiplier,1.0,-79856991.61612435,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_7c9ae7b89d,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_economic_downsizing_168h_20260910/cases/bess_7c9ae7b89d/financial_sensitivity.csv,capex_multiplier,1.2,-94166928.92411232,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_7c9ae7b89d,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_economic_downsizing_168h_20260910/cases/bess_7c9ae7b89d/financial_sensitivity.csv,om_multiplier,0.8,-78784875.49058299,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_7c9ae7b89d,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_economic_downsizing_168h_20260910/cases/bess_7c9ae7b89d/financial_sensitivity.csv,om_multiplier,1.0,-79856991.61612435,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_7c9ae7b89d,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_economic_downsizing_168h_20260910/cases/bess_7c9ae7b89d/financial_sensitivity.csv,om_multiplier,1.2,-80929107.74166569,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_7c9ae7b89d,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_economic_downsizing_168h_20260910/cases/bess_7c9ae7b89d/financial_sensitivity.csv,energy_settlement_multiplier,0.7,-78545585.26188128,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_7c9ae7b89d,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_economic_downsizing_168h_20260910/cases/bess_7c9ae7b89d/financial_sensitivity.csv,energy_settlement_multiplier,1.0,-79856991.61612435,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_7c9ae7b89d,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_economic_downsizing_168h_20260910/cases/bess_7c9ae7b89d/financial_sensitivity.csv,energy_settlement_multiplier,1.3,-81168397.97036742,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_7c9ae7b89d,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_economic_downsizing_168h_20260910/cases/bess_7c9ae7b89d/financial_sensitivity.csv,real_discount_rate,0.04,-89909770.42629893,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_7c9ae7b89d,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_economic_downsizing_168h_20260910/cases/bess_7c9ae7b89d/financial_sensitivity.csv,real_discount_rate,0.07,-79856991.61612435,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_7c9ae7b89d,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_economic_downsizing_168h_20260910/cases/bess_7c9ae7b89d/financial_sensitivity.csv,real_discount_rate,0.1,-73028243.7873288,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_0132aed50d,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_distributed_bess_strict_45mw_168h_20260910/cases/bess_0132aed50d/financial_sensitivity.csv,capex_multiplier,0.8,-67181335.66923594,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_0132aed50d,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_distributed_bess_strict_45mw_168h_20260910/cases/bess_0132aed50d/financial_sensitivity.csv,capex_multiplier,1.0,-81740933.10381609,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_0132aed50d,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_distributed_bess_strict_45mw_168h_20260910/cases/bess_0132aed50d/financial_sensitivity.csv,capex_multiplier,1.2,-96300530.5383962,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_0132aed50d,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_distributed_bess_strict_45mw_168h_20260910/cases/bess_0132aed50d/financial_sensitivity.csv,om_multiplier,0.8,-80535279.42871001,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_0132aed50d,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_distributed_bess_strict_45mw_168h_20260910/cases/bess_0132aed50d/financial_sensitivity.csv,om_multiplier,1.0,-81740933.10381609,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_0132aed50d,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_distributed_bess_strict_45mw_168h_20260910/cases/bess_0132aed50d/financial_sensitivity.csv,om_multiplier,1.2,-82946586.77892216,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_0132aed50d,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_distributed_bess_strict_45mw_168h_20260910/cases/bess_0132aed50d/financial_sensitivity.csv,energy_settlement_multiplier,0.7,-80429526.74957302,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_0132aed50d,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_distributed_bess_strict_45mw_168h_20260910/cases/bess_0132aed50d/financial_sensitivity.csv,energy_settlement_multiplier,1.0,-81740933.10381609,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_0132aed50d,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_distributed_bess_strict_45mw_168h_20260910/cases/bess_0132aed50d/financial_sensitivity.csv,energy_settlement_multiplier,1.3,-83052339.45805915,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_0132aed50d,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_distributed_bess_strict_45mw_168h_20260910/cases/bess_0132aed50d/financial_sensitivity.csv,real_discount_rate,0.04,-91987345.3082886,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_0132aed50d,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_distributed_bess_strict_45mw_168h_20260910/cases/bess_0132aed50d/financial_sensitivity.csv,real_discount_rate,0.07,-81740933.10381609,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_0132aed50d,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_distributed_bess_strict_45mw_168h_20260910/cases/bess_0132aed50d/financial_sensitivity.csv,real_discount_rate,0.1,-74778408.31656478,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_7c9ae7b89d,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_distributed_bess_strict_45mw_168h_20260910/cases/bess_7c9ae7b89d/financial_sensitivity.csv,capex_multiplier,0.8,-65547054.30813636,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_7c9ae7b89d,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_distributed_bess_strict_45mw_168h_20260910/cases/bess_7c9ae7b89d/financial_sensitivity.csv,capex_multiplier,1.0,-79856991.61612435,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_7c9ae7b89d,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_distributed_bess_strict_45mw_168h_20260910/cases/bess_7c9ae7b89d/financial_sensitivity.csv,capex_multiplier,1.2,-94166928.92411232,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_7c9ae7b89d,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_distributed_bess_strict_45mw_168h_20260910/cases/bess_7c9ae7b89d/financial_sensitivity.csv,om_multiplier,0.8,-78784875.49058299,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_7c9ae7b89d,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_distributed_bess_strict_45mw_168h_20260910/cases/bess_7c9ae7b89d/financial_sensitivity.csv,om_multiplier,1.0,-79856991.61612435,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_7c9ae7b89d,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_distributed_bess_strict_45mw_168h_20260910/cases/bess_7c9ae7b89d/financial_sensitivity.csv,om_multiplier,1.2,-80929107.74166569,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_7c9ae7b89d,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_distributed_bess_strict_45mw_168h_20260910/cases/bess_7c9ae7b89d/financial_sensitivity.csv,energy_settlement_multiplier,0.7,-78545585.26188128,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_7c9ae7b89d,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_distributed_bess_strict_45mw_168h_20260910/cases/bess_7c9ae7b89d/financial_sensitivity.csv,energy_settlement_multiplier,1.0,-79856991.61612435,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_7c9ae7b89d,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_distributed_bess_strict_45mw_168h_20260910/cases/bess_7c9ae7b89d/financial_sensitivity.csv,energy_settlement_multiplier,1.3,-81168397.97036742,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_7c9ae7b89d,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_distributed_bess_strict_45mw_168h_20260910/cases/bess_7c9ae7b89d/financial_sensitivity.csv,real_discount_rate,0.04,-89909770.42629893,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_7c9ae7b89d,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_distributed_bess_strict_45mw_168h_20260910/cases/bess_7c9ae7b89d/financial_sensitivity.csv,real_discount_rate,0.07,-79856991.61612435,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_7c9ae7b89d,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_distributed_bess_strict_45mw_168h_20260910/cases/bess_7c9ae7b89d/financial_sensitivity.csv,real_discount_rate,0.1,-73028243.7873288,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_82e9b603c3,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_distributed_bess_strict_45mw_168h_20260910/cases/bess_82e9b603c3/financial_sensitivity.csv,capex_multiplier,0.8,-66364194.98868617,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_82e9b603c3,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_distributed_bess_strict_45mw_168h_20260910/cases/bess_82e9b603c3/financial_sensitivity.csv,capex_multiplier,1.0,-80798962.35997023,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_82e9b603c3,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_distributed_bess_strict_45mw_168h_20260910/cases/bess_82e9b603c3/financial_sensitivity.csv,capex_multiplier,1.2,-95233729.7312543,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_82e9b603c3,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_distributed_bess_strict_45mw_168h_20260910/cases/bess_82e9b603c3/financial_sensitivity.csv,om_multiplier,0.8,-79660077.45964652,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_82e9b603c3,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_distributed_bess_strict_45mw_168h_20260910/cases/bess_82e9b603c3/financial_sensitivity.csv,om_multiplier,1.0,-80798962.35997023,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_82e9b603c3,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_distributed_bess_strict_45mw_168h_20260910/cases/bess_82e9b603c3/financial_sensitivity.csv,om_multiplier,1.2,-81937847.26029392,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_82e9b603c3,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_distributed_bess_strict_45mw_168h_20260910/cases/bess_82e9b603c3/financial_sensitivity.csv,energy_settlement_multiplier,0.7,-79487556.00572716,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_82e9b603c3,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_distributed_bess_strict_45mw_168h_20260910/cases/bess_82e9b603c3/financial_sensitivity.csv,energy_settlement_multiplier,1.0,-80798962.35997023,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_82e9b603c3,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_distributed_bess_strict_45mw_168h_20260910/cases/bess_82e9b603c3/financial_sensitivity.csv,energy_settlement_multiplier,1.3,-82110368.71421331,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_82e9b603c3,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_distributed_bess_strict_45mw_168h_20260910/cases/bess_82e9b603c3/financial_sensitivity.csv,real_discount_rate,0.04,-90948557.86729378,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_82e9b603c3,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_distributed_bess_strict_45mw_168h_20260910/cases/bess_82e9b603c3/financial_sensitivity.csv,real_discount_rate,0.07,-80798962.35997023,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_82e9b603c3,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_distributed_bess_strict_45mw_168h_20260910/cases/bess_82e9b603c3/financial_sensitivity.csv,real_discount_rate,0.1,-73903326.05194679,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_a87593d507,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_distributed_bess_strict_45mw_168h_20260910/cases/bess_a87593d507/financial_sensitivity.csv,capex_multiplier,0.8,-67998476.34978576,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_a87593d507,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_distributed_bess_strict_45mw_168h_20260910/cases/bess_a87593d507/financial_sensitivity.csv,capex_multiplier,1.0,-82682903.84766197,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_a87593d507,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_distributed_bess_strict_45mw_168h_20260910/cases/bess_a87593d507/financial_sensitivity.csv,capex_multiplier,1.2,-97367331.34553815,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_a87593d507,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_distributed_bess_strict_45mw_168h_20260910/cases/bess_a87593d507/financial_sensitivity.csv,om_multiplier,0.8,-81410481.39777355,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_a87593d507,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_distributed_bess_strict_45mw_168h_20260910/cases/bess_a87593d507/financial_sensitivity.csv,om_multiplier,1.0,-82682903.84766197,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_a87593d507,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_distributed_bess_strict_45mw_168h_20260910/cases/bess_a87593d507/financial_sensitivity.csv,om_multiplier,1.2,-83955326.2975504,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_a87593d507,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_distributed_bess_strict_45mw_168h_20260910/cases/bess_a87593d507/financial_sensitivity.csv,energy_settlement_multiplier,0.7,-81371497.49341889,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_a87593d507,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_distributed_bess_strict_45mw_168h_20260910/cases/bess_a87593d507/financial_sensitivity.csv,energy_settlement_multiplier,1.0,-82682903.84766197,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_a87593d507,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_distributed_bess_strict_45mw_168h_20260910/cases/bess_a87593d507/financial_sensitivity.csv,energy_settlement_multiplier,1.3,-83994310.20190503,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_a87593d507,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_distributed_bess_strict_45mw_168h_20260910/cases/bess_a87593d507/financial_sensitivity.csv,real_discount_rate,0.04,-93026132.74928343,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_a87593d507,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_distributed_bess_strict_45mw_168h_20260910/cases/bess_a87593d507/financial_sensitivity.csv,real_discount_rate,0.07,-82682903.84766197,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_a87593d507,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_distributed_bess_strict_45mw_168h_20260910/cases/bess_a87593d507/financial_sensitivity.csv,real_discount_rate,0.1,-75653490.58118276,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
